School Name,City,Website,Enrollment,Admission Rate (%),Average SAT,Average ACT,Tuition (In State),Tuition (Out of State),Published Cost (Academic Year),Average Net Price,Room & Board (On Campus),Books & Supplies,Other On-Campus Expenses,Other Off-Campus w/Family,Median Debt at Graduation,Median Earnings 10y After Entry,IPEDS ID,OPE8 ID,Data Coverage
Hohokus School of Trade and Technical Sciences,Paterson,www.hohokus.edu/,134.0,,,,,,,,,,,,7600.0,43917.0,184746,00849400,Needs data
Innovate Salon Academy,South Plainfield,www.innovatesalonacademy.com/,247.0,,,,,,,,,,,,6333.0,,483106,04218500,Needs data
Innovate Salon Academy,Ewing,innovatesalonacademy.com/,153.0,,,,,,,,,,,,6333.0,,492731,04218501,Needs data
Innovate Salon Academy,Brick Township,https://www.innovatesalonacademy.com/,166.0,,,,,,,,,,,,6333.0,,499130,04218502,Needs data
Jersey College,Teterboro,https://www.jerseycollege.edu/,4089.0,67.91,967.0,,,,,,,,,,21000.0,66087.0,455196,04134100,Needs data
Jersey College - Ewing,Ewing,https://www.jerseycollege.edu/campuses/new-jersey/ewing-nj,,,,,,,,,,,,,21000.0,66087.0,45519602,04134102,Needs data
Lincoln Technical Institute-Iselin,Iselin,www.lincolntech.edu/campus/edison-nj,586.0,,,,,,,,,,,,10521.0,31914.0,184056,01246100,Needs data
Lincoln Technical Institute-Mahwah,Mahwah,www.lincolntech.edu/campus/mahwah-nj,964.0,,,,,,,,,,,,11730.0,46396.0,420343,00793810,Needs data
Lincoln Technical Institute-Moorestown,Moorestown,www.lincolntech.edu/campus/moorestown-nj,633.0,,,,,,,,,,,,10521.0,31914.0,374574,01246102,Needs data
Lincoln Technical Institute-Paramus,Paramus,www.lincolntech.edu/campus/paramus-nj,608.0,,,,,,,,,,,,10521.0,31914.0,442073,01246103,Needs data
Lincoln Technical Institute-South Plainfield,South Plainfield,www.lincolntech.edu/campus/south-plainfield-nj,324.0,,,,,,,,,,,,11730.0,46396.0,184427,00793808,Needs data
Lincoln Technical Institute-Union,Union,www.lincolntech.edu/campus/union-nj,1648.0,,,,,,,,,,,,11730.0,46396.0,185396,00793811,Needs data
MCI Institute of NJ,Ocean,www.mcinj.edu/,162.0,,,,,,,,,,,,10836.0,,479965,04207500,Needs data
MCVSD,Freehold,www.mcvsd.org/,63.0,,,,,,,,,,,,,45062.0,374592,00539900,Needs data
Mobile Technical Training,South Hackensack,www.mobiletechtraining.com/,31.0,,,,,,,,,,,,,,490249,04257800,Needs data
Monmouth University -  Monmouth Park Corporate Center,West Long Branch,https://www.monmouth.edu/,,,,,,,,,,,,,27000.0,67991.0,18557201,00261601,Needs data
Morris County Vocational School District,Denville,www.mcvts.org/,32.0,100.0,,,,,,,,,,,,47174.0,365763,01152300,Needs data
National Career Institute,East Orange,nciedu.com/,148.0,,,,,,,,,,,,6756.0,26415.0,457767,04154900,Needs data
New Brunswick Theological Seminary,New Brunswick,www.nbts.edu/,,,,,,,,,,,,,,,185758,00261900,Needs data
New Community Career & Technical Institute,Newark,www.newcommunity.org/,18.0,,,,,,,,,,,,2808.0,40200.0,437723,03424500,Needs data
Ocean County Vocational-Technical School,Toms River,www.ocvts.org/,450.0,,,,,,,,,,,,5500.0,47122.0,431716,02523700,Needs data
P B Cosmetology Education Center,Gloucester,www.pbbeautyschool.com/,113.0,,,,,,,,,,,,7667.0,26800.0,185970,01062900,Needs data
P C Age-Jersey City,Jersey City,www.pcage.edu/,163.0,,,,,,,,,,,,12966.0,54323.0,443216,03650600,Needs data
PC AGE-Metropark,Iselin,www.pcage.edu/,56.0,,,,,,,,,,,,12966.0,54323.0,443225,03650603,Needs data
Parisian Beauty School,Hackensack,paulmitchell.edu/hackensack,464.0,,,,,,,,,,,,7667.0,27767.0,186016,00759300,Needs data
Pennco Tech-Blackwood,Blackwood,https://www.penncotech.edu/,996.0,,,,,,,,,,,,8331.0,42013.0,186052,02131600,Needs data
Princeton Theological Seminary,Princeton,www.ptsem.edu/,,,,,,,,,,,,,,,186122,00262600,Needs data
Prism Career Institute-Cherry Hill,Cherry Hill,prismcareerinstitute.edu/,328.0,,,,,,,,,,,,17200.0,32473.0,420130,02558703,Needs data
Prism Career Institute-West Atlantic City,West  Atlantic City,prismcareerinstitute.edu/,273.0,,,,,,,,,,,,17200.0,32473.0,430403,02558704,Needs data
Pro Beauty Academy,Edison,www.probeautyacademy.com/,100.0,,,,,,,,,,,,5500.0,,493628,04277800,Needs data
Relay Graduate School of Education - Newark,Newark,relay.edu/location/relay-newark,,,,,,,,,,,,,,,47503301,04208601,Needs data
Rizzieri Aveda School for Beauty and Wellness,Voorhees,www.rizzierischools.com/,381.0,,,,,,,,,,,,5500.0,29601.0,185466,01090300,Needs data
Robert Fiance Beauty Schools-North Plainfield,North Plainfield,www.robertfiance.edu/,160.0,,,,,,,,,,,,6333.0,24509.0,383279,02528200,Needs data
Robert Fiance Beauty Schools-West New York,West New York,www.robertfiance.edu/,229.0,,,,,,,,,,,,6701.0,18123.0,185767,02223700,Needs data
Salon Professional Academy,Howell,https://www.tspahowell.com/,143.0,,,,,,,,,,,,,,497426,04298800,Needs data
Shore Beauty School,Egg Harbor Township,https://www.shorebeautyschool.edu/,174.0,,,,,,,,,,,,6333.0,21377.0,186593,02234600,Needs data
Total Image Beauty Academy,Union City,www.tiba.edu/,293.0,,,,,,,,,,,,8500.0,18720.0,455187,04131200,Needs data
Union County Vocational Technical School,Scotch Plains,https://aps.ucvts.org/,60.0,,,,,,,,,,,,,37590.0,417831,02232500,Needs data
Universal Technical Institute-Bloomfield,Bloomfield,www.uti.edu/,1200.0,,,,,,,,,,,,14267.0,51222.0,493132,02362004,Needs data
Universal Training Institute,Perth Amboy,www.universaluti.com/,133.0,,,,,,,,,,,,12546.0,,481429,04216000,Needs data
Virginia University of Integrative Medicine - New Jersey,Ridgefield,https://www.vuim.edu/,,,,,,,,,,,,,,,49010601,04239501,Needs data
